year,month,day,dew_point_f_avg,dew_point_f_high,dew_point_f_low,events,humidity_%_avg,humidity_%_high,humidity_%_low,precip_in_sum,sea_level_press_in_avg,sea_level_press_in_high,sea_level_press_in_low,temp_f_avg,temp_f_high,temp_f_low,visibility_mi_avg,visibility_mi_high,visibility_mi_low,wind_gust_mph_high,wind_mph_avg,wind_mph_high
2013,aug,1,52.0,53.0,49.0, ,78.0,96.0,46.0,0.0,30.0,30.05,29.94,63.0,77.0,51.0,8.0,10.0,2.0,32.0,7.0,23.0
2013,aug,2,52.0,54.0,46.0, ,81.0,100.0,51.0,0.0,29.96,29.99,29.93,61.0,73.0,50.0,9.0,10.0,2.0,0.0,5.0,21.0
2013,aug,3,53.0,54.0,52.0, ,78.0,93.0,51.0,0.0,29.99,30.03,29.96,64.0,73.0,55.0,9.0,10.0,3.0,0.0,5.0,16.0
2013,aug,4,53.0,54.0,52.0, ,78.0,94.0,51.0,0.0,30.01,30.04,29.98,64.0,73.0,55.0,10.0,10.0,7.0,23.0,5.0,16.0
2013,aug,5,53.0,54.0,52.0, ,80.0,94.0,51.0,0.0,30.0,30.03,29.96,63.0,73.0,54.0,10.0,10.0,4.0,117.0,7.0,18.0
2013,aug,6,53.0,54.0,52.0, ,82.0,94.0,57.0,0.0,30.04,30.09,29.99,62.0,71.0,55.0,10.0,10.0,10.0,40.0,8.0,25.0
2013,aug,7,53.0,55.0,52.0, ,79.0,93.0,55.0,0.0,30.07,30.12,30.03,63.0,72.0,55.0,10.0,10.0,7.0,0.0,8.0,21.0
2013,aug,8,54.0,55.0,53.0, ,77.0,90.0,57.0,0.0,30.0,30.05,29.96,64.0,71.0,57.0,10.0,10.0,10.0,0.0,10.0,21.0
2013,aug,9,54.0,55.0,52.0, ,77.0,94.0,50.0,0.0,29.97,30.01,29.93,65.0,75.0,57.0,10.0,10.0,10.0,61.0,8.0,24.0
2013,aug,10,55.0,56.0,55.0, ,80.0,97.0,53.0,0.0,30.01,30.04,29.99,65.0,75.0,55.0,9.0,10.0,5.0,32.0,8.0,20.0
2013,aug,11,55.0,56.0,54.0, ,82.0,97.0,53.0,0.0,29.99,30.03,29.94,64.0,75.0,55.0,9.0,10.0,3.0,0.0,9.0,21.0
2013,aug,12,54.0,55.0,54.0, ,82.0,96.0,48.0,0.0,29.97,30.0,29.95,65.0,75.0,55.0,9.0,10.0,4.0,0.0,7.0,20.0
2013,aug,13,54.0,55.0,52.0, ,81.0,100.0,42.0,0.0,29.95,29.99,29.91,66.0,80.0,53.0,7.0,10.0,2.0,0.0,3.0,13.0
2013,aug,14,52.0,55.0,48.0, ,70.0,93.0,36.0,0.0,29.89,29.94,29.84,66.0,82.0,52.0,10.0,10.0,9.0,18.0,6.0,18.0
2013,aug,15,53.0,56.0,49.0, ,74.0,100.0,34.0,0.0,29.91,29.94,29.87,68.0,84.0,51.0,8.0,10.0,1.0,26.0,3.0,10.0
2013,aug,16,54.0,56.0,51.0,Fog,79.0,100.0,38.0,0.0,29.95,29.99,29.92,68.0,84.0,53.0,9.0,10.0,0.0,0.0,5.0,14.0
2013,aug,17,56.0,57.0,55.0, ,78.0,100.0,48.0,0.0,29.93,29.98,29.86,66.0,80.0,55.0,9.0,10.0,3.0,16.0,3.0,14.0
2013,aug,18,56.0,57.0,55.0, ,83.0,96.0,52.0,0.0,29.87,29.9,29.83,66.0,77.0,57.0,9.0,10.0,3.0,24.0,2.0,10.0
2013,aug,19,55.0,57.0,54.0, ,84.0,100.0,50.0,0.0,29.9,29.94,29.88,65.0,75.0,55.0,7.0,10.0,1.0,0.0,2.0,8.0
2013,aug,20,55.0,57.0,50.0, ,80.0,96.0,50.0,0.0,29.92,29.96,29.88,67.0,78.0,53.0,10.0,10.0,8.0,0.0,5.0,12.0
2013,aug,21,53.0,55.0,50.0, ,74.0,94.0,43.0,0.0,29.92,29.97,29.88,66.0,79.0,53.0,10.0,10.0,10.0,0.0,3.0,18.0
2013,aug,22,53.0,56.0,48.0, ,70.0,90.0,46.0,0.0,29.93,29.96,29.88,64.0,75.0,52.0,10.0,10.0,10.0,0.0,6.0,20.0
2013,aug,23,55.0,56.0,54.0, ,79.0,94.0,52.0,0.0,29.87,29.93,29.81,65.0,75.0,57.0,10.0,10.0,10.0,0.0,8.0,21.0
