,year,month,day,dew_point_f_avg,dew_point_f_high,dew_point_f_low,events,humidity_%_avg,humidity_%_high,humidity_%_low,precip_in_sum,sea_level_press_in_avg,sea_level_press_in_high,sea_level_press_in_low,temp_f_avg,temp_f_high,temp_f_low,visibility_mi_avg,visibility_mi_high,visibility_mi_low,wind_gust_mph_high,wind_mph_avg,wind_mph_high
0,2016,dec,1,42.0,47.0,37.0, ,63.0,86.0,43.0,0.0,30.04,30.09,29.99,54.0,64.0,45.0,10.0,10.0,10.0,22.0,5.0,14.0
1,2016,dec,2,32.0,36.0,26.0, ,48.0,77.0,29.0,0.0,30.13,30.2,30.08,51.0,63.0,39.0,10.0,10.0,10.0,20.0,5.0,15.0
2,2016,dec,3,32.0,36.0,29.0, ,42.0,63.0,24.0,0.0,30.16,30.23,30.11,58.0,69.0,46.0,10.0,10.0,10.0,20.0,6.0,15.0
3,2016,dec,4,40.0,50.0,34.0, ,57.0,80.0,23.0,0.0,30.07,30.12,30.02,58.0,73.0,43.0,10.0,10.0,10.0,0.0,6.0,15.0
4,2016,dec,5,43.0,49.0,39.0, ,64.0,83.0,41.0,0.0,30.0,30.05,29.96,59.0,70.0,46.0,10.0,10.0,10.0,0.0,6.0,16.0
5,2016,dec,6,41.0,46.0,34.0, ,69.0,89.0,33.0,0.0,30.03,30.09,29.99,53.0,64.0,42.0,10.0,10.0,9.0,0.0,7.0,13.0
6,2016,dec,7,39.0,41.0,36.0, ,65.0,82.0,47.0,0.0,30.13,30.18,30.09,50.0,59.0,42.0,10.0,10.0,10.0,0.0,3.0,12.0
7,2016,dec,8,53.0,58.0,41.0,Rain,87.0,96.0,71.0,0.09,30.22,30.26,30.17,55.0,60.0,50.0,5.0,10.0,1.0,0.0,5.0,10.0
8,2016,dec,9,58.0,61.0,57.0,Rain,87.0,94.0,73.0,0.01,30.23,30.28,30.19,64.0,69.0,59.0,9.0,10.0,2.0,0.0,2.0,8.0
9,2016,dec,10,59.0,61.0,57.0,Rain,92.0,96.0,81.0,0.01,30.16,30.21,30.12,63.0,66.0,60.0,3.0,10.0,1.0,0.0,2.0,13.0
10,2016,dec,11,57.0,60.0,53.0,Fog,90.0,96.0,73.0,0.0,30.11,30.15,30.07,62.0,69.0,55.0,6.0,10.0,0.0,0.0,3.0,14.0
11,2016,dec,12,53.0,55.0,51.0,Fog,90.0,97.0,73.0,0.0,30.1,30.15,30.06,59.0,64.0,54.0,5.0,10.0,0.0,0.0,2.0,6.0
12,2016,dec,13,51.0,54.0,47.0, ,87.0,97.0,52.0,0.0,30.11,30.17,30.07,60.0,68.0,50.0,6.0,10.0,1.0,0.0,3.0,10.0
13,2016,dec,14,51.0,56.0,44.0,Fog,87.0,100.0,65.0,0.0,30.08,30.12,30.05,56.0,66.0,46.0,7.0,10.0,0.0,0.0,2.0,12.0
14,2016,dec,15,54.0,57.0,52.0,Rain,90.0,97.0,81.0,1.59,29.9,30.08,29.76,58.0,61.0,54.0,5.0,10.0,1.0,26.0,5.0,18.0
15,2016,dec,16,47.0,57.0,36.0,Rain,77.0,93.0,51.0,0.22,29.88,30.1,29.74,51.0,60.0,42.0,8.0,10.0,2.0,32.0,12.0,21.0
16,2016,dec,17,32.0,36.0,27.0, ,57.0,73.0,32.0,0.0,30.21,30.27,30.12,48.0,57.0,39.0,10.0,10.0,10.0,0.0,8.0,16.0
17,2016,dec,18,31.0,35.0,27.0, ,59.0,76.0,35.0,0.0,30.24,30.32,30.19,48.0,61.0,35.0,10.0,10.0,10.0,0.0,3.0,17.0
18,2016,dec,19,31.0,35.0,27.0, ,52.0,73.0,29.0,0.0,30.26,30.32,30.2,52.0,66.0,37.0,10.0,10.0,10.0,0.0,4.0,12.0
19,2016,dec,20,34.0,44.0,27.0, ,61.0,82.0,24.0,0.0,30.18,30.26,30.1,53.0,72.0,34.0,10.0,10.0,10.0,0.0,4.0,9.0
20,2016,dec,21,39.0,43.0,35.0, ,61.0,82.0,26.0,0.0,30.01,30.09,29.94,58.0,72.0,43.0,10.0,10.0,10.0,0.0,2.0,7.0
21,2016,dec,22,40.0,46.0,37.0, ,60.0,83.0,30.0,0.0,29.95,30.04,29.9,60.0,73.0,45.0,10.0,10.0,10.0,0.0,3.0,14.0
22,2016,dec,23,47.0,52.0,39.0,Rain,84.0,94.0,77.0,0.77,29.92,30.04,29.81,50.0,55.0,45.0,6.0,10.0,1.0,28.0,6.0,20.0
23,2016,dec,24,38.0,42.0,33.0, ,77.0,93.0,49.0,0.0,29.9,30.02,29.84,46.0,55.0,37.0,10.0,10.0,10.0,0.0,3.0,13.0
24,2016,dec,25,34.0,40.0,29.0, ,69.0,89.0,37.0,0.0,30.08,30.12,30.04,44.0,55.0,33.0,10.0,10.0,10.0,0.0,2.0,7.0
25,2016,dec,26,36.0,39.0,32.0, ,57.0,82.0,34.0,0.0,30.19,30.29,30.12,52.0,63.0,42.0,10.0,10.0,10.0,20.0,2.0,13.0
26,2016,dec,27,34.0,38.0,30.0, ,53.0,79.0,30.0,0.0,30.21,30.28,30.15,54.0,71.0,36.0,10.0,10.0,10.0,0.0,4.0,10.0
27,2016,dec,28,35.0,40.0,29.0, ,43.0,68.0,26.0,0.0,30.13,30.17,30.06,62.0,75.0,46.0,10.0,10.0,10.0,0.0,4.0,8.0
28,2016,dec,29,40.0,47.0,33.0, ,61.0,83.0,31.0,0.0,30.1,30.14,30.05,56.0,75.0,37.0,10.0,10.0,10.0,0.0,2.0,7.0
29,2016,dec,30,50.0,54.0,43.0,"Fog,Rain",85.0,94.0,63.0,0.02,30.0,30.12,29.96,58.0,64.0,51.0,6.0,10.0,0.0,0.0,2.0,6.0
30,2016,dec,31,46.0,52.0,36.0,"Fog,Rain",83.0,100.0,53.0,0.0,29.95,29.98,29.9,48.0,57.0,39.0,7.0,10.0,0.0,0.0,3.0,14.0
